,City,Country,Lat,Lng,Hotel_name
457,lahaina,US,20.87,-156.68,Lahaina Shores Beach Resort
458,hereford,GB,52.06,-2.72,The Green Dragon Hotel
459,san ramon de la nueva oran,AR,-23.13,-64.33,Hotel Residencial Centro
460,manuk mangkaw,PH,4.8,119.85,
461,prainha,BR,-1.8,-53.48,Hotel Brasília
462,pacific grove,US,36.62,-121.92,Lovers Point Inn
463,tam ky,VN,15.57,108.48,Tam Ky Hotels - Tram Oanh Hotel
464,atasu,KZ,48.68,71.64,Dostyk
465,seshcha,RU,53.73,33.34,
466,norilsk,RU,69.35,88.2,NordHostel
467,los teques,VE,10.35,-67.04,Fundación Kathryn Kuhlman
468,san cristobal,EC,-0.39,-78.55,Sierra Alisos Hotel de Campo
469,san ramon,NI,12.92,-85.84,Casagallovago
470,horta,ES,41.43,2.16,Hotel Sagrada Família
471,poum,MK,41.28,20.71,Cimitero
472,sawtell,AU,-30.38,153.1,Boambee Waters Caravan Park
473,seoul,KR,37.57,126.98,LOTTE HOTEL SEOUL
474,plettenberg bay,ZA,-34.05,23.37,Thanda Vista B&B
475,oranjestad,AW,12.52,-70.03,Divi Village Golf & Beach Resort
476,belmonte,PT,40.36,-7.35,Pousada Convento de Belmonte
477,bundaberg,AU,-24.87,152.35,Takalvan Motel
478,samarinda,ID,-0.5,117.14,Aston Samarinda Hotel & Convention Center
479,zhezkazgan,KZ,47.8,67.71,Ul. Ranova 15-1 Kvartiry Posutochno.
480,abonnema,NG,4.71,6.79,Corper's Lodge Obonoma
481,narok,KE,-1.09,35.87,OLORROPIL TOWERS
482,muravlenko,RU,63.79,74.5,Hostel Rus Muravlenko
483,necochea,AR,-38.55,-58.74,dyd -mar Hotel
484,talcahuano,CL,-36.72,-73.12,Hotel Terramar
485,san-pedro,CI,4.75,-6.64,Hotel Maria
486,bismarck,US,46.81,-100.78,Ramkota Hotel & Conference Center
487,pinotepa de don luis,MX,16.43,-97.98,Posada De Belen
488,mizan teferi,ET,6.99,35.58,Hotel Salayish | ሆቴል ሳላይሽ
489,bonfim,BR,-20.33,-44.24,Haras Czar
490,oga,NG,8.18,5.65,Romka Holiday Inn
491,bouca,CF,6.51,18.28,
492,bolobo,CD,-2.17,16.23,
493,nuuk,GL,64.17,-51.74,Vandrehuset
494,baylo,PH,7.85,126.06,PJRB Inland resort
495,fuxin,CN,42.02,121.65,Xinya International Hotel
496,chernaya kholunitsa,RU,58.85,51.72,
497,havelock,US,34.88,-76.9,Sherwood Motel
498,traverse city,US,44.76,-85.62,Bayshore Resort
499,champoton,MX,19.35,-90.72,HOTEL Posada La Regia
500,mandalgovi,MN,45.76,106.27,В.Ганбат
501,delemont,CH,47.36,7.34,Hotel ibis Delemont Delsberg
502,chauk,MM,20.89,94.82,Bo Khin Guest House
503,kambove,CD,-10.88,26.6,Couvant des soeurs catholiques
504,tutoia,BR,-2.76,-42.27,Pousada Guará's
505,touros,BR,-5.2,-35.46,INN NEW HORIZON
506,babati,TZ,-4.21,35.75,White Rose Lodge
507,graaff-reinet,ZA,-32.25,24.53,Rietjiesbos B&B
508,noumea,NC,-22.28,166.46,Hôtel Le Lagon
509,pilot butte,CA,50.48,-104.42,Sleep Inn Regina East
510,atar,MR,20.52,-13.05,Oumou Elghoura
511,valenca do piaui,BR,-6.41,-41.75,GN Hotel
512,natchez,US,31.56,-91.4,Hampton Inn & Suites Natchez
513,denpasar,ID,-8.65,115.22,ASTON Denpasar Hotel & Convention Center
514,loikaw,MM,19.67,97.21,Myat Nan Taw Hotel
515,madaoua,NE,14.07,5.96,
516,malindi,KE,-3.22,40.12,African House Resort
517,along,IN,28.17,94.8,Hotel West
518,bonito,BR,-21.13,-56.49,Marruá Hotel
519,saint anthony,US,43.97,-111.68,Three Bears Inn
520,high prairie,CA,55.43,-116.48,Royal Star Motor Inn
521,high rock,BS,26.63,-78.28,Ocean Pearl Bonefishing Resort
522,raudeberg,NO,61.99,5.14,Nordre Silda.
523,kununurra,AU,-15.77,128.74,Hotel Kununurra
524,mogadishu,SO,2.04,45.34,Hotel Juba
525,mecca,SA,21.43,39.83,Hotel Fairmont Makkah Clock Royal Tower
526,viedma,AR,-40.81,-62.99,Hotel Cristal
527,tomatlan,MX,19.93,-105.25,Norma franco
528,lyuban,BY,52.8,28.0,
529,bonavista,CA,48.65,-53.11,Abbott's Bed & Breakfast
530,hirara,JP,24.8,125.28,Hotel Atoll Emerald Miyakojima
531,russell,AR,-33.01,-68.8,Esplendor by Wyndham Mendoza
532,burns lake,CA,54.23,-125.76,Burns Lake Bed and Breakfast
533,hakkari,FI,61.34,23.75,Vaihmalan Hovi
534,marzuq,YE,14.4,46.47,
535,villaviciosa,ES,43.48,-5.43,Hotel Carlos I
536,padang,ID,-0.92,100.36,Mercure Padang
537,matam,SN,15.66,-13.26,SINTHIOU MBAL
538,la seyne-sur-mer,FR,43.1,5.88,Zenitude Hôtel-Résidences Toulon Six Fours
539,palu,ID,-0.9,119.87,Hotel Santika Palu
540,talmenka,RU,53.82,83.56,Taverna U Dyadi Viti
541,tamworth,AU,-31.09,150.93,Colonial Inn Motel
542,perth,GB,56.4,-3.43,Best Western Queens Hotel
543,yabrud,SY,33.97,36.66,صالون مها حيدر - Salon Maha
544,paraiso,MX,24.01,-104.61,Best Western Plus Plaza Vizcaya Durango
545,veraval,FR,49.65,0.71,Le Manoir aux Vaches
546,novyy urgal,RU,51.07,132.56,
547,tongren,CN,27.72,109.18,Fanjing Mountain International Conference Center
